Trial,Eccentricity (degrees),Reaction Time (s),Direction,Color,Correctness,1/2/3 Colors,Name,Attention,Circle Size (degrees)
302,30,0.3929575,2,"[0, 0, 255]",1,2,B,Covert,4
303,30,0.3866749,2,"[0, 0, 255]",1,2,B,Covert,4
304,30,0.3476218,2,"[0, 0, 255]",1,2,B,Covert,4
305,30,0.51884,2,"[255, 255, 0]",1,2,B,Covert,4
306,30,0.5151928,2,"[255, 255, 0]",1,2,B,Covert,4
307,30,0.3320436,2,"[255, 255, 0]",1,2,B,Covert,4
308,30,0.375586,2,"[255, 255, 0]",1,2,B,Covert,4
309,30,0.3981913,2,"[255, 255, 0]",1,2,B,Covert,4
310,30,0.3467419,2,"[255, 255, 0]",1,2,B,Covert,4
311,30,0.3126398,2,"[255, 255, 0]",1,2,B,Covert,4
312,30,0.2773355,2,"[255, 255, 0]",1,2,B,Covert,4
313,35,0.4072419,0,"[0, 0, 255]",0,2,B,Covert,4
314,35,0.4817003,0,"[0, 0, 255]",1,2,B,Covert,4
315,35,0.3893905,0,"[0, 0, 255]",1,2,B,Covert,4
316,35,0.3349075,0,"[0, 0, 255]",1,2,B,Covert,4
317,35,0.3608223,0,"[0, 0, 255]",1,2,B,Covert,4
318,35,0.3702387,0,"[0, 0, 255]",1,2,B,Covert,4
319,35,0.3416872,0,"[0, 0, 255]",1,2,B,Covert,4
320,35,0.4298852,0,"[255, 255, 0]",1,2,B,Covert,4
321,35,0.3756034,0,"[255, 255, 0]",1,2,B,Covert,4
322,35,0.31398,0,"[255, 255, 0]",1,2,B,Covert,4
323,35,0.3204846,0,"[255, 255, 0]",1,2,B,Covert,4
324,35,0.3020789,0,"[255, 255, 0]",1,2,B,Covert,4
325,35,0.4377442,2,"[0, 0, 255]",1,2,B,Covert,4
326,35,0.4555039,2,"[0, 0, 255]",1,2,B,Covert,4
327,35,0.4557101,2,"[0, 0, 255]",1,2,B,Covert,4
328,35,0.387314,2,"[0, 0, 255]",1,2,B,Covert,4
329,35,0.3826091,2,"[0, 0, 255]",1,2,B,Covert,4
330,35,0.357976,2,"[0, 0, 255]",1,2,B,Covert,4
331,35,0.375293,2,"[0, 0, 255]",1,2,B,Covert,4
332,35,0.6041583,2,"[255, 255, 0]",1,2,B,Covert,4
333,35,0.4202509,2,"[255, 255, 0]",1,2,B,Covert,4
334,35,0.3272399,2,"[255, 255, 0]",1,2,B,Covert,4
335,35,0.2977369,2,"[255, 255, 0]",1,2,B,Covert,4
336,35,0.3326576,2,"[255, 255, 0]",1,2,B,Covert,4
337,40,0.3849087,0,"[0, 0, 255]",1,2,B,Covert,4
338,40,0.4526352,0,"[0, 0, 255]",1,2,B,Covert,4
339,40,0.3989453,0,"[0, 0, 255]",1,2,B,Covert,4
340,40,0.4770598,0,"[0, 0, 255]",1,2,B,Covert,4
341,40,0.3284904,0,"[255, 0, 0]",1,2,B,Covert,4
342,40,0.3573197,0,"[255, 0, 0]",1,2,B,Covert,4
343,40,0.4261013,0,"[255, 0, 0]",1,2,B,Covert,4
344,40,0.4490261,0,"[255, 0, 0]",1,2,B,Covert,4
345,40,0.5514559,0,"[255, 0, 0]",1,2,B,Covert,4
346,40,0.3458399,0,"[255, 255, 0]",1,2,B,Covert,4
347,40,0.4222542,0,"[255, 255, 0]",1,2,B,Covert,4
348,40,0.4709741,0,"[255, 255, 0]",1,2,B,Covert,4
349,40,0.3710955,2,"[0, 0, 255]",1,2,B,Covert,4
350,40,0.3566798,2,"[0, 0, 255]",1,2,B,Covert,4
351,40,0.3192877,2,"[0, 0, 255]",1,2,B,Covert,4
352,40,0.3458218,2,"[0, 0, 255]",1,2,B,Covert,4
353,40,0.3586844,2,"[0, 0, 255]",1,2,B,Covert,4
354,40,0.3952741,2,"[0, 0, 255]",1,2,B,Covert,4
355,40,0.4547761,2,"[0, 0, 255]",1,2,B,Covert,4
356,40,0.570444,2,"[0, 0, 255]",1,2,B,Covert,4
357,40,0.3373603,2,"[255, 255, 0]",1,2,B,Covert,4
358,40,0.3502034,2,"[255, 255, 0]",1,2,B,Covert,4
359,40,0.3811785,2,"[255, 255, 0]",1,2,B,Covert,4
360,0,0.422394,0,"[0, 0, 255]",0,2,B,Covert,4
361,0,0.3750249,2,"[0, 0, 255]",0,2,B,Covert,4
362,0,0.4468617,0,"[0, 0, 255]",1,2,B,Covert,4
363,0,0.4393045,0,"[0, 0, 255]",1,2,B,Covert,4
364,0,0.4422452,0,"[0, 0, 255]",1,2,B,Covert,4
365,0,0.4427005,0,"[0, 0, 255]",1,2,B,Covert,4
366,0,0.2949891,0,"[0, 0, 255]",1,2,B,Covert,4
367,0,0.4786213,0,"[255, 255, 0]",1,2,B,Covert,4
368,0,0.4657581,0,"[255, 255, 0]",1,2,B,Covert,4
369,0,0.4831868,0,"[255, 255, 0]",1,2,B,Covert,4
370,0,0.3607439,0,"[255, 255, 0]",1,2,B,Covert,4
371,0,0.3776626,0,"[255, 255, 0]",1,2,B,Covert,4
372,0,0.3297771,0,"[255, 255, 0]",1,2,B,Covert,4
373,0,0.4237591,2,"[0, 0, 255]",1,2,B,Covert,4
374,0,0.4114737,2,"[0, 0, 255]",1,2,B,Covert,4
375,0,0.3692922,2,"[0, 0, 255]",1,2,B,Covert,4
376,0,0.4245537,2,"[0, 0, 255]",1,2,B,Covert,4
377,0,0.4232895,2,"[0, 0, 255]",1,2,B,Covert,4
378,0,0.3384527,2,"[0, 0, 255]",1,2,B,Covert,4
379,0,0.382922,2,"[0, 0, 255]",1,2,B,Covert,4
380,0,0.3794383,2,"[0, 0, 255]",1,2,B,Covert,4
381,0,0.3894943,2,"[255, 255, 0]",1,2,B,Covert,4
382,0,0.3784355,2,"[255, 255, 0]",1,2,B,Covert,4
383,0,0.3816654,2,"[255, 255, 0]",1,2,B,Covert,4
384,5,0.387599,0,"[0, 0, 255]",0,2,B,Covert,4
385,5,0.4518414,0,"[0, 0, 255]",1,2,B,Covert,4
386,5,0.4454995,0,"[0, 0, 255]",1,2,B,Covert,4
387,5,0.4240522,0,"[0, 0, 255]",1,2,B,Covert,4
388,5,0.3633473,0,"[0, 0, 255]",1,2,B,Covert,4
389,5,0.2970098,0,"[0, 0, 255]",1,2,B,Covert,4
390,5,0.3653163,0,"[0, 0, 255]",1,2,B,Covert,4
